,Cam,Police,Population,Visibility,Safety
121,No,No,Low,Moderate,1
122,No,No,Low,Moderate,1
123,No,No,Low,Moderate,1
124,No,No,Low,Moderate,1
125,No,No,Low,Moderate,1
126,No,No,Low,Moderate,1
127,No,No,Low,Moderate,1
128,No,No,Low,Moderate,1
129,No,No,Low,Moderate,1
130,No,No,Low,Moderate,1
131,No,No,Low,Moderate,1
132,No,No,Low,Moderate,1
133,No,No,Low,Moderate,1
134,No,No,Low,Moderate,1
135,No,No,Low,Moderate,1
136,No,No,Low,Moderate,1
137,No,No,Low,Moderate,1
138,No,No,Low,Moderate,1
139,No,No,Low,Moderate,1
140,No,No,Low,Moderate,1
141,No,No,Low,Moderate,1
142,No,No,Low,Moderate,1
143,No,No,Low,Moderate,1
144,No,No,Low,Moderate,1
145,No,No,Low,Moderate,1
146,No,No,Low,Moderate,1
147,No,No,Low,Moderate,1
148,No,No,Low,Moderate,1
149,No,No,Low,Moderate,1
150,No,No,Low,Moderate,1
151,No,No,Low,Moderate,1
152,No,No,Low,Moderate,1
153,No,No,Low,Moderate,1
154,No,No,Low,Moderate,1
155,No,No,Low,Moderate,1
156,No,No,Low,Moderate,1
157,No,No,Low,Moderate,1
158,No,No,Low,Moderate,1
159,No,No,Low,Moderate,1
160,No,No,Low,Moderate,1
161,No,No,Low,High,1
162,No,No,Low,High,1
163,No,No,Low,High,1
164,No,No,Low,High,1
165,No,No,Low,High,1
166,No,No,Low,High,1
167,No,No,Low,High,1
168,No,No,Low,High,1
169,No,No,Low,High,1
170,No,No,Low,High,1
171,No,No,Low,High,1
172,No,No,Low,High,1
173,No,No,Low,High,1
174,No,No,Low,High,1
175,No,No,Low,High,1
176,No,No,Low,High,1
177,No,No,Low,High,1
178,No,No,Low,High,1
179,No,No,Low,High,1
180,No,No,Low,High,1
181,No,No,Low,High,1
182,No,No,Low,High,1
183,No,No,Low,High,1
184,No,No,Low,High,1
185,No,No,Low,High,1
186,No,No,Low,High,1
187,No,No,Low,High,1
188,No,No,Low,High,1
189,No,No,Low,High,1
190,No,No,Low,High,1
191,No,No,Low,High,1
192,No,No,Low,High,1
193,No,No,Low,High,1
194,No,No,Low,High,1
195,No,No,Low,High,1
196,No,No,Low,High,1
197,No,No,Low,High,1
198,No,No,Low,High,1
199,No,No,Low,High,1
200,No,No,Low,High,1
201,No,No,Low,High,1
202,No,No,Low,High,1
203,No,No,Low,High,1
204,No,No,Low,High,1
205,No,No,Low,High,1
206,No,No,Low,High,1
207,No,No,Low,High,1
208,No,No,Low,High,1
209,No,No,Low,High,1
210,No,No,Low,High,1
211,No,No,Moderate,Low,1
212,No,No,Moderate,Low,1
213,No,No,Moderate,Low,1
214,No,No,Moderate,Low,1
215,No,No,Moderate,Low,1
216,No,No,Moderate,Low,1
217,No,No,Moderate,Low,1
218,No,No,Moderate,Low,1
219,No,No,Moderate,Low,1
220,No,No,Moderate,Low,1
221,No,No,Moderate,Low,1
222,No,No,Moderate,Low,1
223,No,No,Moderate,Low,1
224,No,No,Moderate,Low,1
225,No,No,Moderate,Low,1
226,No,No,Moderate,Low,1
227,No,No,Moderate,Low,1
228,No,No,Moderate,Low,1
229,No,No,Moderate,Low,1
230,No,No,Moderate,Low,1
231,No,No,Moderate,Low,1
232,No,No,Moderate,Low,1
233,No,No,Moderate,Low,1
234,No,No,Moderate,Low,1
235,No,No,Moderate,Low,1
236,No,No,Moderate,Low,1
237,No,No,Moderate,Low,1
238,No,No,Moderate,Low,1
239,No,No,Moderate,Low,1
240,No,No,Moderate,Low,1
241,No,No,Moderate,Low,1
242,No,No,Moderate,Low,1
243,No,No,Moderate,Low,1
244,No,No,Moderate,Low,1
245,No,No,Moderate,Low,1
246,No,No,Moderate,Low,1
247,No,No,Moderate,Low,1
248,No,No,Moderate,Low,1
249,No,No,Moderate,Low,1
250,No,No,Moderate,Low,1
251,No,No,Moderate,Low,1
252,No,No,Moderate,Low,1
253,No,No,Moderate,Low,1
254,No,No,Moderate,Low,1
255,No,No,Moderate,Low,1
256,No,No,Moderate,Low,1
257,No,No,Moderate,Low,1
258,No,No,Moderate,Low,1
259,No,No,Moderate,Low,1
260,No,No,Moderate,Low,1
261,No,No,Moderate,Moderate,1
262,No,No,Moderate,Moderate,1
263,No,No,Moderate,Moderate,1
264,No,No,Moderate,Moderate,1
265,No,No,Moderate,Moderate,1
266,No,No,Moderate,Moderate,1
267,No,No,Moderate,Moderate,1
268,No,No,Moderate,Moderate,1
269,No,No,Moderate,Moderate,1
270,No,No,Moderate,Moderate,1
271,No,No,Moderate,Moderate,1
272,No,No,Moderate,Moderate,1
273,No,No,Moderate,Moderate,1
274,No,No,Moderate,Moderate,1
275,No,No,Moderate,Moderate,1
276,No,No,Moderate,Moderate,1
277,No,No,Moderate,Moderate,1
278,No,No,Moderate,Moderate,1
279,No,No,Moderate,Moderate,1
280,No,No,Moderate,Moderate,1
281,No,No,Moderate,Moderate,1
282,No,No,Moderate,Moderate,1
283,No,No,Moderate,Moderate,1
284,No,No,Moderate,Moderate,1
285,No,No,Moderate,Moderate,1
286,No,No,Moderate,Moderate,1
287,No,No,Moderate,Moderate,1
288,No,No,Moderate,Moderate,1
289,No,No,Moderate,Moderate,1
290,No,No,Moderate,Moderate,1
291,No,No,Moderate,Moderate,1
292,No,No,Moderate,Moderate,1
293,No,No,Moderate,Moderate,1
294,No,No,Moderate,Moderate,1
295,No,No,Moderate,Moderate,1
296,No,No,Moderate,Moderate,1
297,No,No,Moderate,Moderate,1
298,No,No,Moderate,Moderate,1
299,No,No,Moderate,Moderate,1
300,No,No,Moderate,Moderate,1
301,No,No,Moderate,Moderate,1
302,No,No,Moderate,Moderate,1
303,No,No,Moderate,Moderate,1
304,No,No,Moderate,Moderate,1
305,No,No,Moderate,Moderate,1
306,No,No,Moderate,Moderate,1
307,No,No,Moderate,Moderate,1
308,No,No,Moderate,Moderate,1
309,No,No,Moderate,Moderate,1
310,No,No,Moderate,Moderate,1
311,No,No,Moderate,High,2
312,No,No,Moderate,High,2
313,No,No,Moderate,High,2
314,No,No,Moderate,High,2
315,No,No,Moderate,High,2
316,No,No,Moderate,High,2
317,No,No,Moderate,High,2
318,No,No,Moderate,High,2
319,No,No,Moderate,High,2
320,No,No,Moderate,High,2
321,No,No,Moderate,High,2
322,No,No,Moderate,High,2
323,No,No,Moderate,High,2
324,No,No,Moderate,High,2
325,No,No,Moderate,High,2
326,No,No,Moderate,High,2
327,No,No,Moderate,High,2
328,No,No,Moderate,High,2
329,No,No,Moderate,High,2
330,No,No,Moderate,High,2
331,No,No,Moderate,High,2
332,No,No,Moderate,High,2
333,No,No,Moderate,High,2
334,No,No,Moderate,High,2
335,No,No,Moderate,High,2
336,No,No,Moderate,High,2
337,No,No,Moderate,High,2
338,No,No,Moderate,High,2
339,No,No,Moderate,High,2
340,No,No,Moderate,High,2
341,No,No,Moderate,High,2
342,No,No,Moderate,High,2
343,No,No,Moderate,High,2
344,No,No,Moderate,High,2
345,No,No,Moderate,High,2
346,No,No,Moderate,High,2
347,No,No,Moderate,High,2
348,No,No,Moderate,High,2
349,No,No,Moderate,High,2
350,No,No,Moderate,High,2
351,No,No,Moderate,High,2
352,No,No,Moderate,High,2
353,No,No,Moderate,High,2
354,No,No,High,Low,1
355,No,No,High,Low,1
356,No,No,High,Low,1
357,No,No,High,Low,1
358,No,No,High,Low,1
359,No,No,High,Low,1
360,No,No,High,Low,1
361,No,No,High,Low,1
362,No,No,High,Low,1
363,No,No,High,Low,1
364,No,No,High,Low,1
365,No,No,High,Low,1
366,No,No,High,Low,1
367,No,No,High,Low,1
368,No,No,High,Low,1
369,No,No,High,Low,1
370,No,No,High,Low,1
371,No,No,High,Low,1
372,No,No,High,Low,1
373,No,No,High,Low,1
374,No,No,High,Low,1
375,No,No,High,Low,1
376,No,No,High,Low,1
377,No,No,High,Low,1
378,No,No,High,Low,1
379,No,No,High,Low,1
380,No,No,High,Low,1
381,No,No,High,Low,1
382,No,No,High,Low,1
383,No,No,High,Low,1
384,No,No,High,Low,1
385,No,No,High,Low,1
386,No,No,High,Low,1
387,No,No,High,Low,1
388,No,No,High,Low,1
389,No,No,High,Low,1
390,No,No,High,Low,1
391,No,No,High,Low,1
392,No,No,High,Low,1
393,No,No,High,Low,1
394,No,No,High,Low,1
395,No,No,High,Low,1
396,No,No,High,Low,1
397,No,No,High,Low,1
398,No,No,High,Low,1
399,No,No,High,Low,1
400,No,No,High,Low,1
401,No,No,High,Low,1
402,No,No,High,Low,1
403,No,No,High,Low,1
404,No,No,High,Moderate,2
405,No,No,High,Moderate,2
406,No,No,High,Moderate,2
407,No,No,High,Moderate,2
408,No,No,High,Moderate,2
409,No,No,High,Moderate,2
410,No,No,High,Moderate,2
411,No,No,High,Moderate,2
412,No,No,High,Moderate,2
413,No,No,High,Moderate,2
414,No,No,High,Moderate,2
415,No,No,High,Moderate,2
416,No,No,High,Moderate,2
417,No,No,High,Moderate,2
418,No,No,High,Moderate,2
419,No,No,High,Moderate,2
420,No,No,High,Moderate,2
421,No,No,High,Moderate,2
422,No,No,High,Moderate,2
423,No,No,High,Moderate,2
424,No,No,High,Moderate,2
425,No,No,High,Moderate,2
426,No,No,High,Moderate,2
427,No,No,High,Moderate,2
428,No,No,High,Moderate,2
429,No,No,High,Moderate,2
430,No,No,High,Moderate,2
431,No,No,High,Moderate,2
432,No,No,High,Moderate,2
433,No,No,High,Moderate,2
434,No,No,High,Moderate,2
435,No,No,High,Moderate,2
436,No,No,High,Moderate,2
437,No,No,High,Moderate,2
438,No,No,High,Moderate,2
439,No,No,High,Moderate,2
440,No,No,High,Moderate,2
441,No,No,High,Moderate,2
442,No,No,High,Moderate,2
443,No,No,High,Moderate,2
444,No,No,High,Moderate,2
445,No,No,High,Moderate,2
446,No,No,High,Moderate,2
447,No,No,High,High,3
448,No,No,High,High,3
449,No,No,High,High,3
450,No,No,High,High,3
451,No,No,High,High,3
452,No,No,High,High,3
453,No,No,High,High,3
454,No,No,High,High,3
455,No,No,High,High,3
456,No,No,High,High,3
457,No,No,High,High,3
458,No,No,High,High,3
459,No,No,High,High,3
460,No,No,High,High,3
461,No,No,High,High,3
462,No,No,High,High,3
463,No,No,High,High,3
464,No,No,High,High,3
465,No,No,High,High,3
466,No,No,High,High,3
467,No,No,High,High,3
468,No,No,High,High,3
469,No,No,High,High,3
470,No,No,High,High,3
471,No,No,High,High,3
472,No,No,High,High,3
473,No,No,High,High,3
474,No,No,High,High,3
475,No,No,High,High,3
476,No,No,High,High,3
477,No,No,High,High,3
478,No,No,High,High,3
479,No,No,High,High,3
480,No,No,High,High,3
481,No,No,High,High,3
482,No,No,High,High,3
483,No,No,High,High,3
484,No,No,High,High,3
485,No,No,High,High,3
486,No,No,High,High,3
487,No,No,High,High,3
488,No,No,High,High,3
489,No,No,High,High,3
490,No,No,High,High,3
491,No,No,High,High,3
492,No,No,High,High,3
493,No,No,High,High,3
494,No,No,High,High,3
495,No,No,High,High,3
496,No,No,High,High,3
497,No,No,High,High,3
498,No,No,High,High,3
499,No,No,High,High,3
500,No,No,High,High,3
501,No,No,High,High,3
502,No,No,High,High,3
503,No,No,High,High,3
504,No,No,High,High,3
505,No,No,High,High,3
506,No,May Be,Low,Low,0
507,No,May Be,Low,Low,0
508,No,May Be,Low,Low,0
509,No,May Be,Low,Low,0
510,No,May Be,Low,Low,0
511,No,May Be,Low,Low,0
512,No,May Be,Low,Low,0
513,No,May Be,Low,Low,0
514,No,May Be,Low,Low,0
515,No,May Be,Low,Low,0
516,No,May Be,Low,Low,0
517,No,May Be,Low,Low,0
518,No,May Be,Low,Low,0
519,No,May Be,Low,Low,0
520,No,May Be,Low,Low,0
521,No,May Be,Low,Low,0
522,No,May Be,Low,Low,0
523,No,May Be,Low,Low,0
524,No,May Be,Low,Low,0
525,No,May Be,Low,Low,0
526,No,May Be,Low,Low,0
527,No,May Be,Low,Low,0
528,No,May Be,Low,Low,0
529,No,May Be,Low,Low,0
530,No,May Be,Low,Low,0
531,No,May Be,Low,Low,0
532,No,May Be,Low,Low,0
533,No,May Be,Low,Low,0
534,No,May Be,Low,Low,0
535,No,May Be,Low,Low,0
536,No,May Be,Low,Low,0
537,No,May Be,Low,Low,0
538,No,May Be,Low,Low,0
539,No,May Be,Low,Low,0
540,No,May Be,Low,Low,0
541,No,May Be,Low,Low,0
542,No,May Be,Low,Low,0
543,No,May Be,Low,Low,0
544,No,May Be,Low,Low,0
545,No,May Be,Low,Low,0
546,No,May Be,Low,Low,0
547,No,May Be,Low,Low,0
548,No,May Be,Low,Low,0
549,No,May Be,Low,Low,0
550,No,May Be,Low,Low,0
551,No,May Be,Low,Low,0
552,No,May Be,Low,Low,0
553,No,May Be,Low,Low,0
554,No,May Be,Low,Low,0
555,No,May Be,Low,Low,0
556,No,May Be,Low,Low,0
557,No,May Be,Low,Low,0
558,No,May Be,Low,Low,0
559,No,May Be,Low,Low,0
560,No,May Be,Low,Low,0
561,No,May Be,Low,Low,0
562,No,May Be,Low,Low,0
563,No,May Be,Low,Low,0
564,No,May Be,Low,Low,0
565,No,May Be,Low,Low,0
566,No,May Be,Low,Low,0
567,No,May Be,Low,Low,0
568,No,May Be,Low,Low,0
569,No,May Be,Low,Low,0
570,No,May Be,Low,Low,0
571,No,May Be,Low,Low,0
572,No,May Be,Low,Low,0
573,No,May Be,Low,Low,0
574,No,May Be,Low,Low,0
575,No,May Be,Low,Low,0
576,No,May Be,Low,Low,0
577,No,May Be,Low,Low,0
578,No,May Be,Low,Low,0
579,No,May Be,Low,Low,0
580,No,May Be,Low,Low,0
581,No,May Be,Low,Low,0
582,No,May Be,Low,Low,0
583,No,May Be,Low,Low,0
584,No,May Be,Low,Low,0
585,No,May Be,Low,Low,0
586,No,May Be,Low,Low,0
587,No,May Be,Low,Low,0
588,No,May Be,Low,Low,0
589,No,May Be,Low,Low,0
590,No,May Be,Low,Low,0
591,No,May Be,Low,Low,0
592,No,May Be,Low,Low,0
593,No,May Be,Low,Low,0
594,No,May Be,Low,Low,0
595,No,May Be,Low,Low,0
596,No,May Be,Low,Low,0
597,No,May Be,Low,Low,0
598,No,May Be,Low,Low,0
599,No,May Be,Low,Low,0
600,No,May Be,Low,Low,0
601,No,May Be,Low,Low,0
602,No,May Be,Low,Low,0
603,No,May Be,Low,Low,0
604,No,May Be,Low,Low,0
605,No,May Be,Low,Low,0
606,No,May Be,Low,Low,0
607,No,May Be,Low,Low,0
608,No,May Be,Low,Low,0
609,No,May Be,Low,Low,0
610,No,May Be,Low,Low,0
611,No,May Be,Low,Low,0
612,No,May Be,Low,Low,0
613,No,May Be,Low,Low,0
614,No,May Be,Low,Low,0
615,No,May Be,Low,Low,0
616,No,May Be,Low,Low,0
617,No,May Be,Low,Moderate,0
618,No,May Be,Low,Moderate,0
619,No,May Be,Low,Moderate,0
620,No,May Be,Low,Moderate,0
621,No,May Be,Low,Moderate,0
622,No,May Be,Low,Moderate,0
623,No,May Be,Low,Moderate,0
624,No,May Be,Low,Moderate,0
625,No,May Be,Low,Moderate,0
626,No,May Be,Low,Moderate,0
627,No,May Be,Low,Moderate,0
628,No,May Be,Low,Moderate,0
629,No,May Be,Low,Moderate,0
630,No,May Be,Low,Moderate,0
631,No,May Be,Low,Moderate,0
632,No,May Be,Low,Moderate,0
633,No,May Be,Low,Moderate,0
634,No,May Be,Low,Moderate,0
635,No,May Be,Low,Moderate,0
636,No,May Be,Low,Moderate,0
637,No,May Be,Low,Moderate,0
638,No,May Be,Low,Moderate,0
639,No,May Be,Low,Moderate,0
640,No,May Be,Low,Moderate,0
641,No,May Be,Low,Moderate,0
642,No,May Be,Low,Moderate,0
643,No,May Be,Low,Moderate,0
644,No,May Be,Low,Moderate,0
645,No,May Be,Low,Moderate,0
646,No,May Be,Low,Moderate,0
647,No,May Be,Low,Moderate,0
648,No,May Be,Low,Moderate,0
649,No,May Be,Low,Moderate,0
650,No,May Be,Low,Moderate,0
651,No,May Be,Low,Moderate,0
652,No,May Be,Low,Moderate,0
653,No,May Be,Low,Moderate,0
654,No,May Be,Low,Moderate,0
655,No,May Be,Low,Moderate,0
656,No,May Be,Low,Moderate,0
657,No,May Be,Low,Moderate,0
658,No,May Be,Low,Moderate,0
659,No,May Be,Low,Moderate,0
660,No,May Be,Low,Moderate,0
661,No,May Be,Low,Moderate,0
662,No,May Be,Low,Moderate,0
663,No,May Be,Low,Moderate,0
664,No,May Be,Low,Moderate,0
665,No,May Be,Low,Moderate,0
666,No,May Be,Low,Moderate,0
667,No,May Be,Low,Moderate,0
668,No,May Be,Low,Moderate,0
669,No,May Be,Low,Moderate,0
670,No,May Be,Low,Moderate,0
671,No,May Be,Low,Moderate,0
672,No,May Be,Low,Moderate,0
673,No,May Be,Low,Moderate,0
674,No,May Be,Low,Moderate,0
675,No,May Be,Low,Moderate,0
676,No,May Be,Low,Moderate,0
677,No,May Be,Low,Moderate,0
678,No,May Be,Low,Moderate,0
679,No,May Be,Low,Moderate,0
680,No,May Be,Low,Moderate,0
681,No,May Be,Low,Moderate,0
682,No,May Be,Low,Moderate,0
683,No,May Be,Low,Moderate,0
684,No,May Be,Low,Moderate,0
685,No,May Be,Low,Moderate,0
686,No,May Be,Low,Moderate,0
687,No,May Be,Low,Moderate,0
688,No,May Be,Low,Moderate,0
689,No,May Be,Low,Moderate,0
690,No,May Be,Low,Moderate,0
691,No,May Be,Low,Moderate,0
692,No,May Be,Low,Moderate,0
693,No,May Be,Low,Moderate,0
694,No,May Be,Low,Moderate,0
695,No,May Be,Low,Moderate,0
696,No,May Be,Low,Moderate,0
697,No,May Be,Low,Moderate,0
698,No,May Be,Low,Moderate,0
699,No,May Be,Low,Moderate,0
700,No,May Be,Low,Moderate,0
701,No,May Be,Low,Moderate,0
702,No,May Be,Low,Moderate,0
703,No,May Be,Low,Moderate,0
704,No,May Be,Low,Moderate,0
705,No,May Be,Low,Moderate,0
706,No,May Be,Low,Moderate,0
707,No,May Be,Low,Moderate,0
708,No,May Be,Low,Moderate,0
709,No,May Be,Low,Moderate,0
710,No,May Be,Low,Moderate,0
711,No,May Be,Low,Moderate,0
712,No,May Be,Low,Moderate,0
713,No,May Be,Low,Moderate,0
714,No,May Be,Low,Moderate,0
715,No,May Be,Low,Moderate,0
716,No,May Be,Low,Moderate,0
717,No,May Be,Low,Moderate,0
718,No,May Be,Low,Moderate,0
719,No,May Be,Low,Moderate,0
720,No,May Be,Low,Moderate,0
721,No,May Be,Low,Moderate,0
722,No,May Be,Low,Moderate,0
723,No,May Be,Low,Moderate,0
724,No,May Be,Low,Moderate,0
725,No,May Be,Low,Moderate,0
726,No,May Be,Low,Moderate,0
727,No,May Be,Low,Moderate,0
728,No,May Be,Low,High,1
729,No,May Be,Low,High,1
730,No,May Be,Low,High,1
731,No,May Be,Low,High,1
732,No,May Be,Low,High,1
733,No,May Be,Low,High,1
734,No,May Be,Low,High,1
735,No,May Be,Low,High,1
736,No,May Be,Low,High,1
737,No,May Be,Low,High,1
738,No,May Be,Low,High,1
739,No,May Be,Low,High,1
740,No,May Be,Low,High,1
741,No,May Be,Low,High,1
742,No,May Be,Low,High,1
743,No,May Be,Low,High,1
744,No,May Be,Low,High,1
745,No,May Be,Low,High,1
746,No,May Be,Low,High,1
747,No,May Be,Low,High,1
748,No,May Be,Low,High,1
749,No,May Be,Low,High,1
750,No,May Be,Low,High,1
751,No,May Be,Low,High,1
752,No,May Be,Low,High,1
753,No,May Be,Low,High,1
754,No,May Be,Low,High,1
755,No,May Be,Low,High,1
756,No,May Be,Low,High,1
757,No,May Be,Low,High,1
758,No,May Be,Low,High,1
759,No,May Be,Low,High,1
760,No,May Be,Low,High,1
761,No,May Be,Low,High,1
762,No,May Be,Low,High,1
763,No,May Be,Low,High,1
764,No,May Be,Low,High,1
765,No,May Be,Low,High,1
766,No,May Be,Low,High,1
767,No,May Be,Low,High,1
768,No,May Be,Low,High,1
769,No,May Be,Low,High,1
770,No,May Be,Low,High,1
771,No,May Be,Low,High,1
772,No,May Be,Low,High,1
773,No,May Be,Low,High,1
774,No,May Be,Low,High,1
775,No,May Be,Low,High,1
776,No,May Be,Low,High,1
777,No,May Be,Low,High,1
778,No,May Be,Moderate,Low,0
779,No,May Be,Moderate,Low,0
780,No,May Be,Moderate,Low,0
781,No,May Be,Moderate,Low,0
782,No,May Be,Moderate,Low,0
783,No,May Be,Moderate,Low,0
784,No,May Be,Moderate,Low,0
785,No,May Be,Moderate,Low,0
786,No,May Be,Moderate,Low,0
787,No,May Be,Moderate,Low,0
788,No,May Be,Moderate,Low,0
789,No,May Be,Moderate,Low,0
790,No,May Be,Moderate,Low,0
791,No,May Be,Moderate,Low,0
792,No,May Be,Moderate,Low,0
793,No,May Be,Moderate,Low,0
794,No,May Be,Moderate,Low,0
795,No,May Be,Moderate,Low,0
796,No,May Be,Moderate,Low,0
797,No,May Be,Moderate,Low,0
798,No,May Be,Moderate,Low,0
799,No,May Be,Moderate,Low,0
800,No,May Be,Moderate,Low,0
801,No,May Be,Moderate,Low,0
802,No,May Be,Moderate,Low,0
803,No,May Be,Moderate,Low,0
804,No,May Be,Moderate,Low,0
805,No,May Be,Moderate,Low,0
806,No,May Be,Moderate,Low,0
807,No,May Be,Moderate,Low,0
808,No,May Be,Moderate,Low,0
809,No,May Be,Moderate,Low,0
810,No,May Be,Moderate,Low,0
811,No,May Be,Moderate,Low,0
812,No,May Be,Moderate,Low,0
813,No,May Be,Moderate,Low,0
814,No,May Be,Moderate,Low,0
815,No,May Be,Moderate,Low,0
816,No,May Be,Moderate,Low,0
817,No,May Be,Moderate,Low,0
818,No,May Be,Moderate,Low,0
819,No,May Be,Moderate,Low,0
820,No,May Be,Moderate,Low,0
821,No,May Be,Moderate,Low,0
822,No,May Be,Moderate,Low,0
823,No,May Be,Moderate,Low,0
824,No,May Be,Moderate,Low,0
825,No,May Be,Moderate,Low,0
826,No,May Be,Moderate,Low,0
827,No,May Be,Moderate,Low,0
828,No,May Be,Moderate,Low,0
829,No,May Be,Moderate,Low,0
830,No,May Be,Moderate,Low,0
831,No,May Be,Moderate,Low,0
832,No,May Be,Moderate,Low,0
833,No,May Be,Moderate,Low,0
834,No,May Be,Moderate,Low,0
835,No,May Be,Moderate,Low,0
836,No,May Be,Moderate,Low,0
837,No,May Be,Moderate,Low,0
838,No,May Be,Moderate,Low,0
839,No,May Be,Moderate,Low,0
840,No,May Be,Moderate,Low,0
841,No,May Be,Moderate,Low,0
842,No,May Be,Moderate,Low,0
843,No,May Be,Moderate,Low,0
844,No,May Be,Moderate,Low,0
845,No,May Be,Moderate,Low,0
846,No,May Be,Moderate,Low,0
847,No,May Be,Moderate,Low,0
848,No,May Be,Moderate,Low,0
849,No,May Be,Moderate,Low,0
850,No,May Be,Moderate,Low,0
851,No,May Be,Moderate,Low,0
852,No,May Be,Moderate,Low,0
853,No,May Be,Moderate,Low,0
854,No,May Be,Moderate,Low,0
855,No,May Be,Moderate,Low,0
856,No,May Be,Moderate,Low,0
857,No,May Be,Moderate,Low,0
858,No,May Be,Moderate,Low,0
859,No,May Be,Moderate,Low,0
860,No,May Be,Moderate,Low,0
861,No,May Be,Moderate,Low,0
862,No,May Be,Moderate,Low,0
863,No,May Be,Moderate,Low,0
864,No,May Be,Moderate,Low,0
865,No,May Be,Moderate,Low,0
866,No,May Be,Moderate,Low,0
867,No,May Be,Moderate,Low,0
868,No,May Be,Moderate,Low,0
869,No,May Be,Moderate,Low,0
870,No,May Be,Moderate,Low,0
871,No,May Be,Moderate,Low,0
872,No,May Be,Moderate,Low,0
873,No,May Be,Moderate,Low,0
874,No,May Be,Moderate,Low,0
875,No,May Be,Moderate,Low,0
876,No,May Be,Moderate,Low,0
877,No,May Be,Moderate,Low,0
878,No,May Be,Moderate,Low,0
879,No,May Be,Moderate,Low,0
880,No,May Be,Moderate,Low,0
881,No,May Be,Moderate,Low,0
882,No,May Be,Moderate,Low,0
883,No,May Be,Moderate,Low,0
884,No,May Be,Moderate,Low,0
885,No,May Be,Moderate,Low,0
886,No,May Be,Moderate,Low,0
887,No,May Be,Moderate,Low,0
888,No,May Be,Moderate,Low,0
889,No,May Be,Moderate,Moderate,1
890,No,May Be,Moderate,Moderate,1
891,No,May Be,Moderate,Moderate,1
892,No,May Be,Moderate,Moderate,1
