LOCATION,CAMERA,POLICE,VISIBILTY,POPULATION,SAFETY,,POP,SAFETY
SBI ATM,YES,MAYBE,H,2,4,,,
SBI ATM,YES,MAYBE,VH,0,3,,,
SBI ATM,YES,MAYBE,VH,1,4,,,
SBI ATM,YES,MAYBE,VH,2,4,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,VL,0,0,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,VL,1,1,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,VL,2,1,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,L,0,1,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,L,1,1,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,L,2,2,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,M,0,1,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,M,1,2,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,M,2,2,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,H,0,1,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,H,1,2,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,H,2,3,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,VH,0,2,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,VH,1,3,,,
PSPCL Sub Divisional Office,MAYBE,MAYBE,VH,2,4,,,
Sri Shani Dev Mandir,NO,NO,VL,0,0,,,
Sri Shani Dev Mandir,NO,NO,VL,1,0,,,
Sri Shani Dev Mandir,NO,NO,VL,2,1,,,
Sri Shani Dev Mandir,NO,NO,L,0,0,,,
Sri Shani Dev Mandir,NO,NO,L,1,1,,,
Sri Shani Dev Mandir,NO,NO,L,2,1,,,
Sri Shani Dev Mandir,NO,NO,M,0,0,,,
Sri Shani Dev Mandir,NO,NO,M,1,1,,,
Sri Shani Dev Mandir,NO,NO,M,2,2,,,
Sri Shani Dev Mandir,NO,NO,H,0,0,,,
Sri Shani Dev Mandir,NO,NO,H,1,2,,,
Sri Shani Dev Mandir,NO,NO,H,2,3,,,
Sri Shani Dev Mandir,NO,NO,VH,0,1,,,
Sri Shani Dev Mandir,NO,NO,VH,1,3,,,
Sri Shani Dev Mandir,NO,NO,VH,2,4,,,
Office Food & Supply ,NO,NO,VL,0,0,,,
Office Food & Supply ,NO,NO,VL,1,0,,,
Office Food & Supply ,NO,NO,VL,2,1,,,
Office Food & Supply ,NO,NO,L,0,0,,,
Office Food & Supply ,NO,NO,L,1,1,,,
Office Food & Supply ,NO,NO,L,2,1,,,
Office Food & Supply ,NO,NO,M,0,0,,,
Office Food & Supply ,NO,NO,M,1,1,,,
Office Food & Supply ,NO,NO,M,2,2,,,
Office Food & Supply ,NO,NO,H,0,0,,,
Office Food & Supply ,NO,NO,H,1,2,,,
Office Food & Supply ,NO,NO,H,2,3,,,
Office Food & Supply ,NO,NO,VH,0,1,,,
Office Food & Supply ,NO,NO,VH,1,3,,,
Office Food & Supply ,NO,NO,VH,2,4,,,
Sheetla Mata Mandir,NO,NO,VL,0,0,,,
Sheetla Mata Mandir,NO,NO,VL,1,0,,,
Sheetla Mata Mandir,NO,NO,VL,2,1,,,
Sheetla Mata Mandir,NO,NO,L,0,0,,,
Sheetla Mata Mandir,NO,NO,L,1,1,,,
Sheetla Mata Mandir,NO,NO,L,2,1,,,
Sheetla Mata Mandir,NO,NO,M,0,0,,,
Sheetla Mata Mandir,NO,NO,M,1,1,,,
Sheetla Mata Mandir,NO,NO,M,2,2,,,
Sheetla Mata Mandir,NO,NO,H,0,0,,,
Sheetla Mata Mandir,NO,NO,H,1,2,,,
Sheetla Mata Mandir,NO,NO,H,2,3,,,
Sheetla Mata Mandir,NO,NO,VH,0,1,,,
Sheetla Mata Mandir,NO,NO,VH,1,3,,,
Sheetla Mata Mandir,NO,NO,VH,2,4,,,
Easy Day,NO,NO,VL,0,0,,,
Easy Day,NO,NO,VL,1,0,,,
Easy Day,NO,NO,VL,2,1,,,
Easy Day,NO,NO,L,0,0,,,
Easy Day,NO,NO,L,1,1,,,
Easy Day,NO,NO,L,2,1,,,
Easy Day,NO,NO,M,0,0,,,
Easy Day,NO,NO,M,1,1,,,
Easy Day,NO,NO,M,2,2,,,
Easy Day,NO,NO,H,0,0,,,
Easy Day,NO,NO,H,1,2,,,
Easy Day,NO,NO,H,2,3,,,
Easy Day,NO,NO,VH,0,1,,,
Easy Day,NO,NO,VH,1,3,,,
Easy Day,NO,NO,VH,2,4,,,
Hotel Ontario,MAYBE,NO,VL,0,0,,,
Hotel Ontario,MAYBE,NO,VL,1,0,,,
Hotel Ontario,MAYBE,NO,VL,2,1,,,
Hotel Ontario,MAYBE,NO,L,0,0,,,
Hotel Ontario,MAYBE,NO,L,1,1,,,
Hotel Ontario,MAYBE,NO,L,2,2,,,
Hotel Ontario,MAYBE,NO,M,0,0,,,
Hotel Ontario,MAYBE,NO,M,1,1,,,
Hotel Ontario,MAYBE,NO,M,2,2,,,
Hotel Ontario,MAYBE,NO,H,0,1,,,
Hotel Ontario,MAYBE,NO,H,1,2,,,
Hotel Ontario,MAYBE,NO,H,2,3,,,
Hotel Ontario,MAYBE,NO,VH,0,1,,,
Hotel Ontario,MAYBE,NO,VH,1,3,,,
Hotel Ontario,MAYBE,NO,VH,2,4,,,
Diesel Loco Modernisation Works,MAYBE,NO,VL,0,0,,,
Diesel Loco Modernisation Works,MAYBE,NO,VL,1,0,,,
Diesel Loco Modernisation Works,MAYBE,NO,VL,2,1,,,
Diesel Loco Modernisation Works,MAYBE,NO,L,0,0,,,
Diesel Loco Modernisation Works,MAYBE,NO,L,1,1,,,
Diesel Loco Modernisation Works,MAYBE,NO,L,2,2,,,
Diesel Loco Modernisation Works,MAYBE,NO,M,0,0,,,
Diesel Loco Modernisation Works,MAYBE,NO,M,1,1,,,
Diesel Loco Modernisation Works,MAYBE,NO,M,2,2,,,
Diesel Loco Modernisation Works,MAYBE,NO,H,0,1,,,
Diesel Loco Modernisation Works,MAYBE,NO,H,1,2,,,
Diesel Loco Modernisation Works,MAYBE,NO,H,2,3,,,
Diesel Loco Modernisation Works,MAYBE,NO,VH,0,1,,,
Diesel Loco Modernisation Works,MAYBE,NO,VH,1,3,,,
Diesel Loco Modernisation Works,MAYBE,NO,VH,2,4,,,
DMW Post Office,MAYBE,MAYBE,VL,0,0,,,
DMW Post Office,MAYBE,MAYBE,VL,1,1,,,
DMW Post Office,MAYBE,MAYBE,VL,2,1,,,
DMW Post Office,MAYBE,MAYBE,L,0,1,,,
DMW Post Office,MAYBE,MAYBE,L,1,1,,,
DMW Post Office,MAYBE,MAYBE,L,2,2,,,
DMW Post Office,MAYBE,MAYBE,M,0,1,,,
DMW Post Office,MAYBE,MAYBE,M,1,2,,,
DMW Post Office,MAYBE,MAYBE,M,2,2,,,
DMW Post Office,MAYBE,MAYBE,H,0,1,,,
DMW Post Office,MAYBE,MAYBE,H,1,2,,,
DMW Post Office,MAYBE,MAYBE,H,2,3,,,
DMW Post Office,MAYBE,MAYBE,VH,0,2,,,
DMW Post Office,MAYBE,MAYBE,VH,1,3,,,
DMW Post Office,MAYBE,MAYBE,VH,2,4,,,
DMW Hospital,YES,MAYBE,VL,0,1,,,
DMW Hospital,YES,MAYBE,VL,1,1,,,
DMW Hospital,YES,MAYBE,VL,2,2,,,
DMW Hospital,YES,MAYBE,L,0,1,,,
DMW Hospital,YES,MAYBE,L,1,2,,,
DMW Hospital,YES,MAYBE,L,2,2,,,
DMW Hospital,YES,MAYBE,M,0,1,,,
DMW Hospital,YES,MAYBE,M,1,2,,,
DMW Hospital,YES,MAYBE,M,2,3,,,
DMW Hospital,YES,MAYBE,H,0,2,,,
DMW Hospital,YES,MAYBE,H,1,3,,,
DMW Hospital,YES,MAYBE,H,2,4,,,
DMW Hospital,YES,MAYBE,VH,0,3,,,
DMW Hospital,YES,MAYBE,VH,1,4,,,
DMW Hospital,YES,MAYBE,VH,2,4,,,
DMW Stadium ,NO,MAYBE,VL,0,0,,,
DMW Stadium ,NO,MAYBE,VL,1,0,,,
DMW Stadium ,NO,MAYBE,VL,2,1,,,
DMW Stadium ,NO,MAYBE,L,0,0,,,
DMW Stadium ,NO,MAYBE,L,1,1,,,
DMW Stadium ,NO,MAYBE,L,2,2,,,
DMW Stadium ,NO,MAYBE,M,0,1,,,
DMW Stadium ,NO,MAYBE,M,1,1,,,
DMW Stadium ,NO,MAYBE,M,2,2,,,
DMW Stadium ,NO,MAYBE,H,0,1,,,
DMW Stadium ,NO,MAYBE,H,1,2,,,
DMW Stadium ,NO,MAYBE,H,2,3,,,
DMW Stadium ,NO,MAYBE,VH,0,2,,,
DMW Stadium ,NO,MAYBE,VH,1,3,,,
DMW Stadium ,NO,MAYBE,VH,2,4,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,VL,0,0,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,VL,1,1,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,VL,2,1,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,L,0,1,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,L,1,1,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,L,2,2,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,M,0,1,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,M,1,2,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,M,2,2,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,H,0,1,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,H,1,2,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,H,2,3,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,VH,0,2,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,VH,1,3,,,
Gurdawara Dashmesh Bhawan,MAYBE,MAYBE,VH,2,4,,,
Mahadev Furniture,NO,MAYBE,VL,0,0,,,
Mahadev Furniture,NO,MAYBE,VL,1,0,,,
Mahadev Furniture,NO,MAYBE,VL,2,1,,,
Mahadev Furniture,NO,MAYBE,L,0,0,,,
Mahadev Furniture,NO,MAYBE,L,1,1,,,
Mahadev Furniture,NO,MAYBE,L,2,2,,,
Mahadev Furniture,NO,MAYBE,M,0,1,,,
Mahadev Furniture,NO,MAYBE,M,1,1,,,
Mahadev Furniture,NO,MAYBE,M,2,2,,,
Mahadev Furniture,NO,MAYBE,H,0,1,,,
Mahadev Furniture,NO,MAYBE,H,1,2,,,
Mahadev Furniture,NO,MAYBE,H,2,3,,,
Mahadev Furniture,NO,MAYBE,VH,0,2,,,
Mahadev Furniture,NO,MAYBE,VH,1,3,,,
Mahadev Furniture,NO,MAYBE,VH,2,4,,,
Public Toilet,YES,YES,VL,0,1,,,
Public Toilet,YES,YES,VL,1,2,,,
Public Toilet,YES,YES,VL,2,2,,,
Public Toilet,YES,YES,L,0,1,,,
Public Toilet,YES,YES,L,1,2,,,
Public Toilet,YES,YES,L,2,3,,,
Public Toilet,YES,YES,M,0,2,,,
Public Toilet,YES,YES,M,1,2,,,
Public Toilet,YES,YES,M,2,3,,,
Public Toilet,YES,YES,H,0,3,,,
Public Toilet,YES,YES,H,1,4,,,
Public Toilet,YES,YES,H,2,4,,,
Public Toilet,YES,YES,VH,0,4,,,
Public Toilet,YES,YES,VH,1,4,,,
Public Toilet,YES,YES,VH,2,4,,,
Badi Nadhi,NO,MAYBE,VL,0,0,,,
Badi Nadhi,NO,MAYBE,VL,1,0,,,
Badi Nadhi,NO,MAYBE,VL,2,1,,,
Badi Nadhi,NO,MAYBE,L,0,0,,,
Badi Nadhi,NO,MAYBE,L,1,1,,,
Badi Nadhi,NO,MAYBE,L,2,2,,,
Badi Nadhi,NO,MAYBE,M,0,1,,,
Badi Nadhi,NO,MAYBE,M,1,1,,,
Badi Nadhi,NO,MAYBE,M,2,2,,,
Badi Nadhi,NO,MAYBE,H,0,1,,,
Badi Nadhi,NO,MAYBE,H,1,2,,,
Badi Nadhi,NO,MAYBE,H,2,3,,,
Badi Nadhi,NO,MAYBE,VH,0,2,,,
Badi Nadhi,NO,MAYBE,VH,1,3,,,
Badi Nadhi,NO,MAYBE,VH,2,4,,,
Jashandeep cyber fuel,YES,NO,VL,0,0,,,
Jashandeep cyber fuel,YES,NO,VL,1,1,,,
Jashandeep cyber fuel,YES,NO,VL,2,1,,,
Jashandeep cyber fuel,YES,NO,L,0,1,,,
Jashandeep cyber fuel,YES,NO,L,1,1,,,
Jashandeep cyber fuel,YES,NO,L,2,2,,,
Jashandeep cyber fuel,YES,NO,M,0,1,,,
Jashandeep cyber fuel,YES,NO,M,1,2,,,
Jashandeep cyber fuel,YES,NO,M,2,3,,,
Jashandeep cyber fuel,YES,NO,H,0,2,,,
Jashandeep cyber fuel,YES,NO,H,1,3,,,
Jashandeep cyber fuel,YES,NO,H,2,4,,,
Jashandeep cyber fuel,YES,NO,VH,0,2,,,
Jashandeep cyber fuel,YES,NO,VH,1,4,,,
Jashandeep cyber fuel,YES,NO,VH,2,4,,,
Kakkar Tent House,YES,MAYBE,VL,0,1,,,
Kakkar Tent House,YES,MAYBE,VL,1,1,,,
Kakkar Tent House,YES,MAYBE,VL,2,2,,,
Kakkar Tent House,YES,MAYBE,L,0,1,,,
Kakkar Tent House,YES,MAYBE,L,1,2,,,
Kakkar Tent House,YES,MAYBE,L,2,2,,,
Kakkar Tent House,YES,MAYBE,M,0,1,,,
Kakkar Tent House,YES,MAYBE,M,1,2,,,
Kakkar Tent House,YES,MAYBE,M,2,3,,,
Kakkar Tent House,YES,MAYBE,H,0,2,,,
Kakkar Tent House,YES,MAYBE,H,1,3,,,
Kakkar Tent House,YES,MAYBE,H,2,4,,,
Kakkar Tent House,YES,MAYBE,VH,0,3,,,
Kakkar Tent House,YES,MAYBE,VH,1,4,,,
Kakkar Tent House,YES,MAYBE,VH,2,4,,,
Hotel HD Residency,YES,MAYBE,VL,0,1,,,
Hotel HD Residency,YES,MAYBE,VL,1,1,,,
Hotel HD Residency,YES,MAYBE,VL,2,2,,,
Hotel HD Residency,YES,MAYBE,L,0,1,,,
Hotel HD Residency,YES,MAYBE,L,1,2,,,
Hotel HD Residency,YES,MAYBE,L,2,2,,,
Hotel HD Residency,YES,MAYBE,M,0,1,,,
Hotel HD Residency,YES,MAYBE,M,1,2,,,
Hotel HD Residency,YES,MAYBE,M,2,3,,,
Hotel HD Residency,YES,MAYBE,H,0,2,,,
Hotel HD Residency,YES,MAYBE,H,1,3,,,
Hotel HD Residency,YES,MAYBE,H,2,4,,,
Hotel HD Residency,YES,MAYBE,VH,0,3,,,
Hotel HD Residency,YES,MAYBE,VH,1,4,,,
Hotel HD Residency,YES,MAYBE,VH,2,4,,,
Opera IELTS,MAYBE,NO,VL,0,0,,,
Opera IELTS,MAYBE,NO,VL,1,0,,,
Opera IELTS,MAYBE,NO,VL,2,1,,,
Opera IELTS,MAYBE,NO,L,0,0,,,
Opera IELTS,MAYBE,NO,L,1,1,,,
Opera IELTS,MAYBE,NO,L,2,2,,,
Opera IELTS,MAYBE,NO,M,0,0,,,
Opera IELTS,MAYBE,NO,M,1,1,,,
Opera IELTS,MAYBE,NO,M,2,2,,,
Opera IELTS,MAYBE,NO,H,0,1,,,
Opera IELTS,MAYBE,NO,H,1,2,,,
Opera IELTS,MAYBE,NO,H,2,3,,,
Opera IELTS,MAYBE,NO,VH,0,1,,,
Opera IELTS,MAYBE,NO,VH,1,3,,,
Opera IELTS,MAYBE,NO,VH,2,4,,,
St. Xaviers International School,YES,MAYBE,VL,0,1,,,
St. Xaviers International School,YES,MAYBE,VL,1,1,,,
St. Xaviers International School,YES,MAYBE,VL,2,2,,,
St. Xaviers International School,YES,MAYBE,L,0,1,,,
St. Xaviers International School,YES,MAYBE,L,1,2,,,
St. Xaviers International School,YES,MAYBE,L,2,2,,,
St. Xaviers International School,YES,MAYBE,M,0,1,,,
St. Xaviers International School,YES,MAYBE,M,1,2,,,
St. Xaviers International School,YES,MAYBE,M,2,3,,,
St. Xaviers International School,YES,MAYBE,H,0,2,,,
St. Xaviers International School,YES,MAYBE,H,1,3,,,
St. Xaviers International School,YES,MAYBE,H,2,4,,,
St. Xaviers International School,YES,MAYBE,VH,0,3,,,
St. Xaviers International School,YES,MAYBE,VH,1,4,,,
St. Xaviers International School,YES,MAYBE,VH,2,4,,,
Police Station (urban estate),YES,YES,VL,0,1,,,
Police Station (urban estate),YES,YES,VL,1,2,,,
Police Station (urban estate),YES,YES,VL,2,2,,,
Police Station (urban estate),YES,YES,L,0,1,,,
Police Station (urban estate),YES,YES,L,1,2,,,
Police Station (urban estate),YES,YES,L,2,3,,,
Police Station (urban estate),YES,YES,M,0,2,,,
Police Station (urban estate),YES,YES,M,1,2,,,
Police Station (urban estate),YES,YES,M,2,3,,,
Police Station (urban estate),YES,YES,H,0,3,,,
Police Station (urban estate),YES,YES,H,1,4,,,
Police Station (urban estate),YES,YES,H,2,4,,,
Police Station (urban estate),YES,YES,VH,0,4,,,
Police Station (urban estate),YES,YES,VH,1,4,,,
Police Station (urban estate),YES,YES,VH,2,4,,,
PDA Park,NO,NO,VL,0,0,,,
PDA Park,NO,NO,VL,1,0,,,
PDA Park,NO,NO,VL,2,1,,,
PDA Park,NO,NO,L,0,0,,,
PDA Park,NO,NO,L,1,1,,,
PDA Park,NO,NO,L,2,1,,,
PDA Park,NO,NO,M,0,0,,,
PDA Park,NO,NO,M,1,1,,,
PDA Park,NO,NO,M,2,2,,,
PDA Park,NO,NO,H,0,0,,,
PDA Park,NO,NO,H,1,2,,,
PDA Park,NO,NO,H,2,3,,,
PDA Park,NO,NO,VH,0,1,,,
PDA Park,NO,NO,VH,1,3,,,
PDA Park,NO,NO,VH,2,4,,,
Student's Parking lot,YES,YES,VL,0,1,,,
Student's Parking lot,YES,YES,VL,1,2,,,
Student's Parking lot,YES,YES,VL,2,2,,,
Student's Parking lot,YES,YES,L,0,1,,,
Student's Parking lot,YES,YES,L,1,2,,,
Student's Parking lot,YES,YES,L,2,3,,,
Student's Parking lot,YES,YES,M,0,2,,,
Student's Parking lot,YES,YES,M,1,2,,,
Student's Parking lot,YES,YES,M,2,3,,,
Student's Parking lot,YES,YES,H,0,3,,,
Student's Parking lot,YES,YES,H,1,4,,,
Student's Parking lot,YES,YES,H,2,4,,,
Student's Parking lot,YES,YES,VH,0,4,,,
Student's Parking lot,YES,YES,VH,1,4,,,
Student's Parking lot,YES,YES,VH,2,4,,,
