LOCATION,CAMERA,POLICE,VISIBILTY,POPULATION,SAFETY,,POP,SAFETY
Sirhindi Gate,YES,MAYBE,L,1,2,,,
Sirhindi Gate,YES,MAYBE,L,2,2,,,
Sirhindi Gate,YES,MAYBE,M,0,1,,,
Sirhindi Gate,YES,MAYBE,M,1,2,,,
Sirhindi Gate,YES,MAYBE,M,2,3,,,
Sirhindi Gate,YES,MAYBE,H,0,2,,,
Sirhindi Gate,YES,MAYBE,H,1,3,,,
Sirhindi Gate,YES,MAYBE,H,2,4,,,
Sirhindi Gate,YES,MAYBE,VH,0,3,,,
Sirhindi Gate,YES,MAYBE,VH,1,4,,,
Sirhindi Gate,YES,MAYBE,VH,2,4,,,
PRTC Patiala Depot,YES,NO,VL,0,0,,,
PRTC Patiala Depot,YES,NO,VL,1,1,,,
PRTC Patiala Depot,YES,NO,VL,2,1,,,
PRTC Patiala Depot,YES,NO,L,0,1,,,
PRTC Patiala Depot,YES,NO,L,1,1,,,
PRTC Patiala Depot,YES,NO,L,2,2,,,
PRTC Patiala Depot,YES,NO,M,0,1,,,
PRTC Patiala Depot,YES,NO,M,1,2,,,
PRTC Patiala Depot,YES,NO,M,2,3,,,
PRTC Patiala Depot,YES,NO,H,0,2,,,
PRTC Patiala Depot,YES,NO,H,1,3,,,
PRTC Patiala Depot,YES,NO,H,2,4,,,
PRTC Patiala Depot,YES,NO,VH,0,2,,,
PRTC Patiala Depot,YES,NO,VH,1,4,,,
PRTC Patiala Depot,YES,NO,VH,2,4,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,VL,0,0,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,VL,1,1,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,VL,2,1,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,L,0,1,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,L,1,1,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,L,2,2,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,M,0,1,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,M,1,2,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,M,2,2,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,H,0,1,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,H,1,2,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,H,2,3,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,VH,0,2,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,VH,1,3,,,
Ancient Hanuman Mandir,MAYBE,MAYBE,VH,2,4,,,
Aggarsain Hospital Patiala,YES,YES,VL,0,1,,,
Aggarsain Hospital Patiala,YES,YES,VL,1,2,,,
Aggarsain Hospital Patiala,YES,YES,VL,2,2,,,
Aggarsain Hospital Patiala,YES,YES,L,0,1,,,
Aggarsain Hospital Patiala,YES,YES,L,1,2,,,
Aggarsain Hospital Patiala,YES,YES,L,2,3,,,
Aggarsain Hospital Patiala,YES,YES,M,0,2,,,
Aggarsain Hospital Patiala,YES,YES,M,1,2,,,
Aggarsain Hospital Patiala,YES,YES,M,2,3,,,
Aggarsain Hospital Patiala,YES,YES,H,0,3,,,
Aggarsain Hospital Patiala,YES,YES,H,1,4,,,
Aggarsain Hospital Patiala,YES,YES,H,2,4,,,
Aggarsain Hospital Patiala,YES,YES,VH,0,4,,,
Aggarsain Hospital Patiala,YES,YES,VH,1,4,,,
Aggarsain Hospital Patiala,YES,YES,VH,2,4,,,
SDKS Bhawan,YES,MAYBE,VL,0,1,,,
SDKS Bhawan,YES,MAYBE,VL,1,1,,,
SDKS Bhawan,YES,MAYBE,VL,2,2,,,
SDKS Bhawan,YES,MAYBE,L,0,1,,,
SDKS Bhawan,YES,MAYBE,L,1,2,,,
SDKS Bhawan,YES,MAYBE,L,2,2,,,
SDKS Bhawan,YES,MAYBE,M,0,1,,,
SDKS Bhawan,YES,MAYBE,M,1,2,,,
SDKS Bhawan,YES,MAYBE,M,2,3,,,
SDKS Bhawan,YES,MAYBE,H,0,2,,,
SDKS Bhawan,YES,MAYBE,H,1,3,,,
SDKS Bhawan,YES,MAYBE,H,2,4,,,
SDKS Bhawan,YES,MAYBE,VH,0,3,,,
SDKS Bhawan,YES,MAYBE,VH,1,4,,,
SDKS Bhawan,YES,MAYBE,VH,2,4,,,
Pal Petrol Pump,YES,MAYBE,VL,0,1,,,
Pal Petrol Pump,YES,MAYBE,VL,1,1,,,
Pal Petrol Pump,YES,MAYBE,VL,2,2,,,
Pal Petrol Pump,YES,MAYBE,L,0,1,,,
Pal Petrol Pump,YES,MAYBE,L,1,2,,,
Pal Petrol Pump,YES,MAYBE,L,2,2,,,
Pal Petrol Pump,YES,MAYBE,M,0,1,,,
Pal Petrol Pump,YES,MAYBE,M,1,2,,,
Pal Petrol Pump,YES,MAYBE,M,2,3,,,
Pal Petrol Pump,YES,MAYBE,H,0,2,,,
Pal Petrol Pump,YES,MAYBE,H,1,3,,,
Pal Petrol Pump,YES,MAYBE,H,2,4,,,
Pal Petrol Pump,YES,MAYBE,VH,0,3,,,
Pal Petrol Pump,YES,MAYBE,VH,1,4,,,
Pal Petrol Pump,YES,MAYBE,VH,2,4,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,VL,0,0,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,VL,1,1,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,VL,2,1,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,L,0,1,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,L,1,1,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,L,2,2,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,M,0,1,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,M,1,2,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,M,2,3,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,H,0,2,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,H,1,3,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,H,2,4,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,VH,0,2,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,VH,1,4,,,
"Maruti Suzuki Cars, Hira Automobile",YES,NO,VH,2,4,,,
Hotel Eqbal Inn,YES,YES,VL,0,1,,,
Hotel Eqbal Inn,YES,YES,VL,1,2,,,
Hotel Eqbal Inn,YES,YES,VL,2,2,,,
Hotel Eqbal Inn,YES,YES,L,0,1,,,
Hotel Eqbal Inn,YES,YES,L,1,2,,,
Hotel Eqbal Inn,YES,YES,L,2,3,,,
Hotel Eqbal Inn,YES,YES,M,0,2,,,
Hotel Eqbal Inn,YES,YES,M,1,2,,,
Hotel Eqbal Inn,YES,YES,M,2,3,,,
Hotel Eqbal Inn,YES,YES,H,0,3,,,
Hotel Eqbal Inn,YES,YES,H,1,4,,,
Hotel Eqbal Inn,YES,YES,H,2,4,,,
Hotel Eqbal Inn,YES,YES,VH,0,4,,,
Hotel Eqbal Inn,YES,YES,VH,1,4,,,
Hotel Eqbal Inn,YES,YES,VH,2,4,,,
Hotel Uttam residency,YES,NO,VL,0,0,,,
Hotel Uttam residency,YES,NO,VL,1,1,,,
Hotel Uttam residency,YES,NO,VL,2,1,,,
Hotel Uttam residency,YES,NO,L,0,1,,,
Hotel Uttam residency,YES,NO,L,1,1,,,
Hotel Uttam residency,YES,NO,L,2,2,,,
Hotel Uttam residency,YES,NO,M,0,1,,,
Hotel Uttam residency,YES,NO,M,1,2,,,
Hotel Uttam residency,YES,NO,M,2,3,,,
Hotel Uttam residency,YES,NO,H,0,2,,,
Hotel Uttam residency,YES,NO,H,1,3,,,
Hotel Uttam residency,YES,NO,H,2,4,,,
Hotel Uttam residency,YES,NO,VH,0,2,,,
Hotel Uttam residency,YES,NO,VH,1,4,,,
Hotel Uttam residency,YES,NO,VH,2,4,,,
Kartar Singh,NO,NO,VL,0,0,,,
Kartar Singh,NO,NO,VL,1,0,,,
Kartar Singh,NO,NO,VL,2,1,,,
Kartar Singh,NO,NO,L,0,0,,,
Kartar Singh,NO,NO,L,1,1,,,
Kartar Singh,NO,NO,L,2,1,,,
Kartar Singh,NO,NO,M,0,0,,,
Kartar Singh,NO,NO,M,1,1,,,
Kartar Singh,NO,NO,M,2,2,,,
Kartar Singh,NO,NO,H,0,0,,,
Kartar Singh,NO,NO,H,1,2,,,
Kartar Singh,NO,NO,H,2,3,,,
Kartar Singh,NO,NO,VH,0,1,,,
Kartar Singh,NO,NO,VH,1,3,,,
Kartar Singh,NO,NO,VH,2,4,,,
Tarsem Furniture House,NO,MAYBE,VL,0,0,,,
Tarsem Furniture House,NO,MAYBE,VL,1,0,,,
Tarsem Furniture House,NO,MAYBE,VL,2,1,,,
Tarsem Furniture House,NO,MAYBE,L,0,0,,,
Tarsem Furniture House,NO,MAYBE,L,1,1,,,
Tarsem Furniture House,NO,MAYBE,L,2,2,,,
Tarsem Furniture House,NO,MAYBE,M,0,1,,,
Tarsem Furniture House,NO,MAYBE,M,1,1,,,
Tarsem Furniture House,NO,MAYBE,M,2,2,,,
Tarsem Furniture House,NO,MAYBE,H,0,1,,,
Tarsem Furniture House,NO,MAYBE,H,1,2,,,
Tarsem Furniture House,NO,MAYBE,H,2,3,,,
Tarsem Furniture House,NO,MAYBE,VH,0,2,,,
Tarsem Furniture House,NO,MAYBE,VH,1,3,,,
Tarsem Furniture House,NO,MAYBE,VH,2,4,,,
"MPF Showroom, Amar tyre works",NO,NO,VL,0,0,,,
"MPF Showroom, Amar tyre works",NO,NO,VL,1,0,,,
"MPF Showroom, Amar tyre works",NO,NO,VL,2,1,,,
"MPF Showroom, Amar tyre works",NO,NO,L,0,0,,,
"MPF Showroom, Amar tyre works",NO,NO,L,1,1,,,
"MPF Showroom, Amar tyre works",NO,NO,L,2,1,,,
"MPF Showroom, Amar tyre works",NO,NO,M,0,0,,,
"MPF Showroom, Amar tyre works",NO,NO,M,1,1,,,
"MPF Showroom, Amar tyre works",NO,NO,M,2,2,,,
"MPF Showroom, Amar tyre works",NO,NO,H,0,0,,,
"MPF Showroom, Amar tyre works",NO,NO,H,1,2,,,
"MPF Showroom, Amar tyre works",NO,NO,H,2,3,,,
"MPF Showroom, Amar tyre works",NO,NO,VH,0,1,,,
"MPF Showroom, Amar tyre works",NO,NO,VH,1,3,,,
"MPF Showroom, Amar tyre works",NO,NO,VH,2,4,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,VL,0,0,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,VL,1,0,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,VL,2,1,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,L,0,0,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,L,1,1,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,L,2,2,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,M,0,0,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,M,1,1,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,M,2,2,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,H,0,1,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,H,1,2,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,H,2,3,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,VH,0,1,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,VH,1,3,,,
Harman Airconditioners Daikin Shoppe,MAYBE,NO,VH,2,4,,,
Jain Petrol Pump,MAYBE,NO,VL,0,0,,,
Jain Petrol Pump,MAYBE,NO,VL,1,0,,,
Jain Petrol Pump,MAYBE,NO,VL,2,1,,,
Jain Petrol Pump,MAYBE,NO,L,0,0,,,
Jain Petrol Pump,MAYBE,NO,L,1,1,,,
Jain Petrol Pump,MAYBE,NO,L,2,2,,,
Jain Petrol Pump,MAYBE,NO,M,0,0,,,
Jain Petrol Pump,MAYBE,NO,M,1,1,,,
Jain Petrol Pump,MAYBE,NO,M,2,2,,,
Jain Petrol Pump,MAYBE,NO,H,0,1,,,
Jain Petrol Pump,MAYBE,NO,H,1,2,,,
Jain Petrol Pump,MAYBE,NO,H,2,3,,,
Jain Petrol Pump,MAYBE,NO,VH,0,1,,,
Jain Petrol Pump,MAYBE,NO,VH,1,3,,,
Jain Petrol Pump,MAYBE,NO,VH,2,4,,,
Massy world(multibrand showroom),YES,NO,VL,0,0,,,
Massy world(multibrand showroom),YES,NO,VL,1,1,,,
Massy world(multibrand showroom),YES,NO,VL,2,1,,,
Massy world(multibrand showroom),YES,NO,L,0,1,,,
Massy world(multibrand showroom),YES,NO,L,1,1,,,
Massy world(multibrand showroom),YES,NO,L,2,2,,,
Massy world(multibrand showroom),YES,NO,M,0,1,,,
Massy world(multibrand showroom),YES,NO,M,1,2,,,
Massy world(multibrand showroom),YES,NO,M,2,3,,,
Massy world(multibrand showroom),YES,NO,H,0,2,,,
Massy world(multibrand showroom),YES,NO,H,1,3,,,
Massy world(multibrand showroom),YES,NO,H,2,4,,,
Massy world(multibrand showroom),YES,NO,VH,0,2,,,
Massy world(multibrand showroom),YES,NO,VH,1,4,,,
Massy world(multibrand showroom),YES,NO,VH,2,4,,,
Duroflex Store - Comfort Zone,NO,NO,VL,0,0,,,
Duroflex Store - Comfort Zone,NO,NO,VL,1,0,,,
Duroflex Store - Comfort Zone,NO,NO,VL,2,1,,,
Duroflex Store - Comfort Zone,NO,NO,L,0,0,,,
Duroflex Store - Comfort Zone,NO,NO,L,1,1,,,
Duroflex Store - Comfort Zone,NO,NO,L,2,1,,,
Duroflex Store - Comfort Zone,NO,NO,M,0,0,,,
Duroflex Store - Comfort Zone,NO,NO,M,1,1,,,
Duroflex Store - Comfort Zone,NO,NO,M,2,2,,,
Duroflex Store - Comfort Zone,NO,NO,H,0,0,,,
Duroflex Store - Comfort Zone,NO,NO,H,1,2,,,
Duroflex Store - Comfort Zone,NO,NO,H,2,3,,,
Duroflex Store - Comfort Zone,NO,NO,VH,0,1,,,
Duroflex Store - Comfort Zone,NO,NO,VH,1,3,,,
Duroflex Store - Comfort Zone,NO,NO,VH,2,4,,,
The Grand Square,YES,NO,VL,0,0,,,
The Grand Square,YES,NO,VL,1,1,,,
The Grand Square,YES,NO,VL,2,1,,,
The Grand Square,YES,NO,L,0,1,,,
The Grand Square,YES,NO,L,1,1,,,
The Grand Square,YES,NO,L,2,2,,,
The Grand Square,YES,NO,M,0,1,,,
The Grand Square,YES,NO,M,1,2,,,
The Grand Square,YES,NO,M,2,3,,,
The Grand Square,YES,NO,H,0,2,,,
The Grand Square,YES,NO,H,1,3,,,
The Grand Square,YES,NO,H,2,4,,,
The Grand Square,YES,NO,VH,0,2,,,
The Grand Square,YES,NO,VH,1,4,,,
The Grand Square,YES,NO,VH,2,4,,,
Ahuja Furniture,MAYBE,NO,VL,0,0,,,
Ahuja Furniture,MAYBE,NO,VL,1,0,,,
Ahuja Furniture,MAYBE,NO,VL,2,1,,,
Ahuja Furniture,MAYBE,NO,L,0,0,,,
Ahuja Furniture,MAYBE,NO,L,1,1,,,
Ahuja Furniture,MAYBE,NO,L,2,2,,,
Ahuja Furniture,MAYBE,NO,M,0,0,,,
Ahuja Furniture,MAYBE,NO,M,1,1,,,
Ahuja Furniture,MAYBE,NO,M,2,2,,,
Ahuja Furniture,MAYBE,NO,H,0,1,,,
Ahuja Furniture,MAYBE,NO,H,1,2,,,
Ahuja Furniture,MAYBE,NO,H,2,3,,,
Ahuja Furniture,MAYBE,NO,VH,0,1,,,
Ahuja Furniture,MAYBE,NO,VH,1,3,,,
Ahuja Furniture,MAYBE,NO,VH,2,4,,,
Vardhman Janhit Rasoi,NO,NO,VL,0,0,,,
Vardhman Janhit Rasoi,NO,NO,VL,1,0,,,
Vardhman Janhit Rasoi,NO,NO,VL,2,1,,,
Vardhman Janhit Rasoi,NO,NO,L,0,0,,,
Vardhman Janhit Rasoi,NO,NO,L,1,1,,,
Vardhman Janhit Rasoi,NO,NO,L,2,1,,,
Vardhman Janhit Rasoi,NO,NO,M,0,0,,,
Vardhman Janhit Rasoi,NO,NO,M,1,1,,,
Vardhman Janhit Rasoi,NO,NO,M,2,2,,,
Vardhman Janhit Rasoi,NO,NO,H,0,0,,,
Vardhman Janhit Rasoi,NO,NO,H,1,2,,,
Vardhman Janhit Rasoi,NO,NO,H,2,3,,,
Vardhman Janhit Rasoi,NO,NO,VH,0,1,,,
Vardhman Janhit Rasoi,NO,NO,VH,1,3,,,
Vardhman Janhit Rasoi,NO,NO,VH,2,4,,,
Vardhman Steels and Metals,YES,NO,VL,0,0,,,
Vardhman Steels and Metals,YES,NO,VL,1,1,,,
Vardhman Steels and Metals,YES,NO,VL,2,1,,,
Vardhman Steels and Metals,YES,NO,L,0,1,,,
Vardhman Steels and Metals,YES,NO,L,1,1,,,
Vardhman Steels and Metals,YES,NO,L,2,2,,,
Vardhman Steels and Metals,YES,NO,M,0,1,,,
Vardhman Steels and Metals,YES,NO,M,1,2,,,
Vardhman Steels and Metals,YES,NO,M,2,3,,,
Vardhman Steels and Metals,YES,NO,H,0,2,,,
Vardhman Steels and Metals,YES,NO,H,1,3,,,
Vardhman Steels and Metals,YES,NO,H,2,4,,,
Vardhman Steels and Metals,YES,NO,VH,0,2,,,
Vardhman Steels and Metals,YES,NO,VH,1,4,,,
Vardhman Steels and Metals,YES,NO,VH,2,4,,,
Burger King,YES,NO,VL,0,0,,,
Burger King,YES,NO,VL,1,1,,,
Burger King,YES,NO,VL,2,1,,,
Burger King,YES,NO,L,0,1,,,
Burger King,YES,NO,L,1,1,,,
Burger King,YES,NO,L,2,2,,,
Burger King,YES,NO,M,0,1,,,
Burger King,YES,NO,M,1,2,,,
Burger King,YES,NO,M,2,3,,,
Burger King,YES,NO,H,0,2,,,
Burger King,YES,NO,H,1,3,,,
Burger King,YES,NO,H,2,4,,,
Burger King,YES,NO,VH,0,2,,,
Burger King,YES,NO,VH,1,4,,,
Burger King,YES,NO,VH,2,4,,,
Verka milk bar,NO,NO,VL,0,0,,,
Verka milk bar,NO,NO,VL,1,0,,,
Verka milk bar,NO,NO,VL,2,1,,,
Verka milk bar,NO,NO,L,0,0,,,
Verka milk bar,NO,NO,L,1,1,,,
Verka milk bar,NO,NO,L,2,1,,,
Verka milk bar,NO,NO,M,0,0,,,
Verka milk bar,NO,NO,M,1,1,,,
Verka milk bar,NO,NO,M,2,2,,,
Verka milk bar,NO,NO,H,0,0,,,
Verka milk bar,NO,NO,H,1,2,,,
Verka milk bar,NO,NO,H,2,3,,,
Verka milk bar,NO,NO,VH,0,1,,,
Verka milk bar,NO,NO,VH,1,3,,,
Verka milk bar,NO,NO,VH,2,4,,,
Bypass flyover park,YES,YES,VL,0,1,,,
Bypass flyover park,YES,YES,VL,1,2,,,
Bypass flyover park,YES,YES,VL,2,2,,,
Bypass flyover park,YES,YES,L,0,1,,,
Bypass flyover park,YES,YES,L,1,2,,,
Bypass flyover park,YES,YES,L,2,3,,,
Bypass flyover park,YES,YES,M,0,2,,,
Bypass flyover park,YES,YES,M,1,2,,,
Bypass flyover park,YES,YES,M,2,3,,,
Bypass flyover park,YES,YES,H,0,3,,,
Bypass flyover park,YES,YES,H,1,4,,,
Bypass flyover park,YES,YES,H,2,4,,,
Bypass flyover park,YES,YES,VH,0,4,,,
Bypass flyover park,YES,YES,VH,1,4,,,
Bypass flyover park,YES,YES,VH,2,4,,,
Vardhman Mahaveer Health Care,YES,MAYBE,VL,0,1,,,
Vardhman Mahaveer Health Care,YES,MAYBE,VL,1,1,,,
Vardhman Mahaveer Health Care,YES,MAYBE,VL,2,2,,,
Vardhman Mahaveer Health Care,YES,MAYBE,L,0,1,,,
Vardhman Mahaveer Health Care,YES,MAYBE,L,1,2,,,
Vardhman Mahaveer Health Care,YES,MAYBE,L,2,2,,,
Vardhman Mahaveer Health Care,YES,MAYBE,M,0,1,,,
Vardhman Mahaveer Health Care,YES,MAYBE,M,1,2,,,
Vardhman Mahaveer Health Care,YES,MAYBE,M,2,3,,,
Vardhman Mahaveer Health Care,YES,MAYBE,H,0,2,,,
Vardhman Mahaveer Health Care,YES,MAYBE,H,1,3,,,
Vardhman Mahaveer Health Care,YES,MAYBE,H,2,4,,,
Vardhman Mahaveer Health Care,YES,MAYBE,VH,0,3,,,
Vardhman Mahaveer Health Care,YES,MAYBE,VH,1,4,,,
Vardhman Mahaveer Health Care,YES,MAYBE,VH,2,4,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,VL,0,0,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,VL,1,1,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,VL,2,1,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,L,0,1,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,L,1,1,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,L,2,2,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,M,0,1,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,M,1,2,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,M,2,2,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,H,0,1,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,H,1,2,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,H,2,3,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,VH,0,2,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,VH,1,3,,,
Barbeque Nation - Patiala,MAYBE,MAYBE,VH,2,4,,,
Atwal Petrol Pump,MAYBE,NO,VL,0,0,,,
Atwal Petrol Pump,MAYBE,NO,VL,1,0,,,
Atwal Petrol Pump,MAYBE,NO,VL,2,1,,,
Atwal Petrol Pump,MAYBE,NO,L,0,0,,,
Atwal Petrol Pump,MAYBE,NO,L,1,1,,,
Atwal Petrol Pump,MAYBE,NO,L,2,2,,,
Atwal Petrol Pump,MAYBE,NO,M,0,0,,,
Atwal Petrol Pump,MAYBE,NO,M,1,1,,,
Atwal Petrol Pump,MAYBE,NO,M,2,2,,,
Atwal Petrol Pump,MAYBE,NO,H,0,1,,,
Atwal Petrol Pump,MAYBE,NO,H,1,2,,,
Atwal Petrol Pump,MAYBE,NO,H,2,3,,,
Atwal Petrol Pump,MAYBE,NO,VH,0,1,,,
Atwal Petrol Pump,MAYBE,NO,VH,1,3,,,
Atwal Petrol Pump,MAYBE,NO,VH,2,4,,,
Baani Milk Producer Company,MAYBE,NO,VL,0,0,,,
Baani Milk Producer Company,MAYBE,NO,VL,1,0,,,
Baani Milk Producer Company,MAYBE,NO,VL,2,1,,,
Baani Milk Producer Company,MAYBE,NO,L,0,0,,,
Baani Milk Producer Company,MAYBE,NO,L,1,1,,,
Baani Milk Producer Company,MAYBE,NO,L,2,2,,,
Baani Milk Producer Company,MAYBE,NO,M,0,0,,,
Baani Milk Producer Company,MAYBE,NO,M,1,1,,,
Baani Milk Producer Company,MAYBE,NO,M,2,2,,,
Baani Milk Producer Company,MAYBE,NO,H,0,1,,,
Baani Milk Producer Company,MAYBE,NO,H,1,2,,,
Baani Milk Producer Company,MAYBE,NO,H,2,3,,,
Baani Milk Producer Company,MAYBE,NO,VH,0,1,,,
Baani Milk Producer Company,MAYBE,NO,VH,1,3,,,
Baani Milk Producer Company,MAYBE,NO,VH,2,4,,,
Phase 2 Main road,MAYBE,MAYBE,VL,0,0,,,
Phase 2 Main road,MAYBE,MAYBE,VL,1,1,,,
Phase 2 Main road,MAYBE,MAYBE,VL,2,1,,,
Phase 2 Main road,MAYBE,MAYBE,L,0,1,,,
Phase 2 Main road,MAYBE,MAYBE,L,1,1,,,
Phase 2 Main road,MAYBE,MAYBE,L,2,2,,,
Phase 2 Main road,MAYBE,MAYBE,M,0,1,,,
Phase 2 Main road,MAYBE,MAYBE,M,1,2,,,
Phase 2 Main road,MAYBE,MAYBE,M,2,2,,,
Phase 2 Main road,MAYBE,MAYBE,H,0,1,,,
Phase 2 Main road,MAYBE,MAYBE,H,1,2,,,
Phase 2 Main road,MAYBE,MAYBE,H,2,3,,,
Phase 2 Main road,MAYBE,MAYBE,VH,0,2,,,
Phase 2 Main road,MAYBE,MAYBE,VH,1,3,,,
